School,Address,Rating,Type,Enrollment,Students per Teacher,,,,
John T. Baker Middle School,"25400 Oak Drive, Damascus, MD, 20872",7,M,850,15,,,,
Silver Spring International Middle,"313 Wayne Avenue, Silver Spring, MD, 20910",6,M,1125,14,,,,
Lakelands Park Middle,"1200 Main Street, Gaithersburg, MD, 20878",6,M,1121,15,,,,
Roberto W. Clemente Middle,"18808 Waring Station Road, Germantown, MD, 20874",6,M,1301,15,,,,
Julius West Middle,"651 Great Falls Road, Rockville, MD, 20850",6,M,1317,15,,,,
Ridgeview Middle,"16600 Raven Rock Drive, Gaithersburg, MD, 20878",6,M,751,13,,,,
Sligo Middle,"1401 Dennis Avenue, Silver Spring, MD, 20902",6,M,657,12,,,,
Briggs Chaney Middle,"1901 Rainbow Drive, Silver Spring, MD, 20905",6,M,896,13,,,,
Argyle Middle,"2400 Bel Pre Rd, Silver Spring, MD, 20906",5,M,1008,14,,,,
Earle B. Wood Middle,"14615 Bauer Drive, Rockville, MD, 20853",5,M,964,13,,,,
Gaithersburg Middle,"2 Teachers Way, Gaithersburg, MD, 20877",5,M,863,12,,,,
Redland Middle,"6505 Muncaster Mill Rd, Rockville, MD, 20855",5,M,608,12,,,,
White Oak Middle,"12201 New Hampshire Avenue, Silver Spring, MD, 20904",5,M,784,12,,,,
Eastern Middle School,"300 University Boulevard East, Silver Spring, MD, 20901",5,M,970,13,,,,
Shady Grove Middle,"8100 Midcounty Highway, Gaithersburg, MD, 20877",4,M,627,12,,,,
Newport Mill Middle,"11311 Newport Mill Rd, Kensington, MD, 20895",4,M,675,12,,,,
A. Mario Loiederman Middle,"12701 Goodhill Road, Silver Spring, MD, 20906",4,M,986,13,,,,
Neelsville Middle,"11700 Neelsville Church Road, Germantown, MD, 20876",4,M,944,13,,,,
Benjamin Banneker Middle,"14800 Perrywood Drive, Burtonsville, MD, 20866",4,M,856,13,,,,
Col. E. Brooke Lee Middle,"11800 Monticello Avenue, Silver Spring, MD, 20902",4,M,760,13,,,,
Parkland Middle,"4610 West Frankfort Drive, Rockville, MD, 20853",4,M,1058,14,,,,
Martin Luther King Jr. Middle,"13737 Wisteria Drive, Germantown, MD, 20874",4,M,648,12,,,,
Francis Scott Key Middle,"910 Schindler Drive, Silver Spring, MD, 20903",4,M,991,14,,,,
Forest Oak Middle,"651 Saybrooke Oaks Boulevard, Gaithersburg, MD, 20877",3,M,864,13,,,,
Montgomery Village Middle School,"19300 Watkins Mill Road, Montgomery Village, MD, 20886",3,M,743,12,,,,
Silver Creek Middle,"3701 Saul Road, Kensington, MD, 20895",,M,865,14,,,,
Poolesville High,"17501 West Willard Road, Poolesville, MD, 20837",9,H,1185,16,,,,
Walt Whitman High,"7100 Whittier Boulevard, Bethesda, MD, 20817",9,H,2098,17,,,,
Walter Johnson High,"6400 Rock Spring Drive, Bethesda, MD, 20814",8,H,2587,18,,,,
Winston Churchill High,"11300 Gainsborough Road, Potomac, MD, 20854",8,H,2227,17,,,,
Bethesda-Chevy Chase High,"4301 East West Highway, Bethesda, MD, 20814",7,H,2124,18,,,,
Thomas S. Wootton High,"2100 Wootton Parkway, Rockville, MD, 20850",7,H,2107,17,,,,
Damascus High,"25921 Ridge Road, Damascus, MD, 20872",7,H,1311,16,,,,
Clarksburg High,"22500 Wims Road, Clarksburg, MD, 20871",6,H,2328,16,,,,
Northwest High,"13501 Richter Farm Road, Germantown, MD, 20874",6,H,2586,17,,,,
