Census 5-Digit ZCTA Code,Percent Non Hispanic White,Percent Non Hispanic Black,Percent non Hispanic Asian,Percent Hispanic
20705,23.3,38.4,11.5,23.6
20706,8.9,68.5,4.1,16.5
20707,30.4,42.6,9.0,14.8
20708,19.1,60.3,4.5,12.8
20710,5.2,63.9,2.0,27.1
20711,78.1,14.8,0.6,2.9
20712,12.3,51.3,2.2,32.0
20714,85.3,6.9,1.2,2.6
20715,56.8,29.4,3.5,6.7
20716,26.8,59.8,4.4,5.2
20720,20.0,64.3,7.0,5.6
20721,6.2,86.4,2.2,2.8
20722,13.0,38.3,4.5,41.7
20723,47.5,26.1,14.3,8.2
20724,33.8,41.2,8.2,13.4
20732,81.8,11.3,1.1,2.8
20733,81.9,11.8,0.9,3.1
20735,9.7,80.2,2.5,5.2
20736,84.4,9.7,1.6,2.0
20737,11.8,34.8,3.0,48.1
20740,53.1,15.6,12.9,15.1
20742,62.8,11.2,16.1,5.8
20743,2.2,90.0,0.4,5.5
20744,8.3,75.4,6.1,7.5
20745,4.6,78.9,4.4,9.8
20746,4.4,85.8,1.1,6.3
20747,3.1,89.9,0.7,4.2
20748,5.5,86.1,1.2,5.0
20751,91.6,4.1,0.5,2.6
20754,85.8,6.9,2.2,2.3
20755,55.3,22.8,2.8,12.6
20758,90.0,6.0,0.0,2.6
20759,71.4,8.1,13.6,3.2
20762,56.0,21.4,2.4,14.0
20763,48.1,25.1,15.5,7.7
20764,83.5,10.8,0.7,2.6
20765,79.4,16.7,0.6,1.6
20769,22.6,61.0,6.3,7.2
20770,24.1,49.8,8.9,14.1
20772,14.1,78.1,1.3,3.5
20774,4.0,89.6,1.8,2.5
20776,81.9,11.4,0.5,4.0
20777,81.2,4.7,8.3,3.0
20778,90.4,4.3,1.1,2.8
20779,86.5,6.9,1.0,3.0
20781,24.4,31.0,2.6,39.3
20782,15.2,45.6,3.1,33.7
20783,7.6,26.6,4.6,59.4
20784,8.1,56.5,2.6,30.6
20785,6.3,81.3,0.9,9.3
20794,44.2,44.1,3.0,6.1
20812,90.2,1.2,2.4,3.9
20814,76.0,4.1,9.3,7.6
20815,80.3,4.3,6.2,6.3
20816,82.8,2.3,5.6,6.5
20817,74.0,3.8,11.7,7.4
20818,80.3,3.7,8.2,4.2
20832,66.1,11.3,11.0,9.1
20833,72.7,8.9,8.8,6.7
20837,82.2,6.3,2.1,7.1
