Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
21034,24,2421034,B5,G6350,S,"21,034.00",24,"65,082,100.00","7,322,047.00","3,387.00","1,402.00","3,129.00",111,20,13,1,0,54,59,92.4,3.3,0.6,0.4,0,0,1.6,1.7,608,18,45.2,106,7.6,51.9,36.7,18,24.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21034.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21034.pdf
21035,24,2421035,B5,G6350,S,"21,035.00",24,"73,449,277.00","465,812.00","7,815.00","2,733.00","7,012.00",317,25,125,2,4,139,191,89.7,4.1,0.3,1.6,0,0.1,1.8,2.4,"1,157.00",14.8,45.9,68,2.5,73.8,21.3,6.2,10.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21035.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21035.pdf
21036,24,2421036,B5,G6350,S,"21,036.00",24,"15,774,195.00","1,774,161.00","2,114.00",717,"1,723.00",92,5,179,0,7,34,74,81.5,4.4,0.2,8.5,0,0.3,1.6,3.5,336,15.9,46.1,17,2.4,69.3,25.3,7.2,10,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21036.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21036.pdf
21037,24,2421037,B5,G6350,S,"21,037.00",24,"44,708,019.00","12,083,162.00","20,618.00","8,449.00","18,049.00",668,66,315,2,24,372,"1,122.00",87.5,3.2,0.3,1.5,0,0.1,1.8,5.4,"2,661.00",12.9,41.6,377,4.5,70.3,18.3,13.9,22.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21037.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21037.pdf
21040,24,2421040,B5,G6350,S,"21,040.00",24,"20,633,014.00","2,989,202.00","24,420.00","9,281.00","11,322.00","10,036.00",60,408,30,33,888,"1,643.00",46.4,41.1,0.2,1.7,0.1,0.1,3.6,6.7,"1,915.00",7.8,32,585,6.3,56.6,17.1,31.8,48.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21040.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21040.pdf
21042,24,2421042,B5,G6350,S,"21,042.00",24,"97,095,136.00","440,182.00","38,076.00","13,587.00","27,322.00","2,183.00",38,"6,519.00",5,83,895,"1,031.00",71.8,5.7,0.1,17.1,0,0.2,2.4,2.7,"4,950.00",13,44,380,2.8,67.5,22.9,12.5,11.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21042.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21042.pdf
21043,24,2421043,B5,G6350,S,"21,043.00",24,"44,017,823.00","185,361.00","42,246.00","16,308.00","24,616.00","4,771.00",78,"9,788.00",23,89,"1,125.00","1,756.00",58.3,11.3,0.2,23.2,0.1,0.2,2.7,4.2,"3,903.00",9.2,37.2,652,4,57.4,15.1,32.3,16.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21043.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21043.pdf
21044,24,2421044,B5,G6350,S,"21,044.00",24,"31,075,560.00","262,874.00","41,704.00","18,371.00","22,297.00","10,363.00",87,"4,430.00",23,123,"1,537.00","2,844.00",53.5,24.8,0.2,10.6,0.1,0.3,3.7,6.8,"5,423.00",13,38.8,753,4.1,49.3,16.9,40.6,30.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21044.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21044.pdf
21045,24,2421045,B5,G6350,S,"21,045.00",24,"25,138,579.00","244,075.00","38,288.00","15,283.00","17,633.00","10,917.00",68,"3,891.00",14,131,"1,460.00","4,174.00",46.1,28.5,0.2,10.2,0,0.3,3.8,10.9,"4,148.00",10.8,36.5,529,3.5,59.6,14.9,30,31.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21045.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21045.pdf
21046,24,2421046,B5,G6350,S,"21,046.00",24,"20,186,665.00","147,315.00","15,080.00","6,262.00","9,113.00","3,222.00",29,"1,291.00",6,57,529,833,60.4,21.4,0.2,8.6,0,0.4,3.5,5.5,"1,121.00",7.4,36.3,208,3.3,59.6,14.5,30.3,27.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21046.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21046.pdf
21047,24,2421047,B5,G6350,S,"21,047.00",24,"60,927,725.00","170,736.00","11,873.00","4,293.00","11,088.00",200,22,220,0,18,113,212,93.4,1.7,0.2,1.9,0,0.2,1,1.8,"1,903.00",16,44.9,143,3.3,67.7,28.5,5.3,10.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21047.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21047.pdf
